!datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Surface_Level_Barometric_Pressure_pascal	Air_Temperature_celsius	Relative_Humidity_percent	Cloud_Cover_decimalFraction	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerSecond
1979-03-18 00:00:00	6.8238749	0	10000	-5.7654086	79.996745	0.7678408	151.84663	0
1979-03-19 00:00:00	6.0791127	0	10000	-1.3633242	80.246851	0.74860571	156.92425	0
1979-03-20 00:00:00	7.240928	0	10000	0.50875753	72.582451	0.41846362	220.74042	0
1979-03-21 00:00:00	4.3933506	0	10000	3.8387568	79.119056	0.26433459	237.7075	0
1979-03-22 00:00:00	2.9060163	0	10000	6.1095901	66.057302	0.20519626	244.7735	0
1979-03-23 00:00:00	3.4348383	0	10000	8.9279304	56.448019	0.20246837	247.00542	0
1979-03-24 00:00:00	8.9828203	0	10000	8.0366709	75.713013	0.51388761	210.185	1.5534723e-11
1979-03-25 00:00:00	7.3520414	0	10000	9.9233439	87.760282	0.60147867	193.10604	5.5280094e-11
1979-03-26 00:00:00	6.1707381	0	10000	3.7587474	74.529604	0.82197101	146.75046	1.4814815e-13
1979-03-27 00:00:00	9.3417736	0	10000	-4.1524961	41.271014	0.78585543	161.95958	0
1979-03-28 00:00:00	5.2554486	0	10000	-2.0595777	45.518276	0.14839188	268.131	0
1979-03-29 00:00:00	5.3036793	0	10000	1.8150052	80.768756	0.98540656	99.286832	1.3390046e-11
1979-03-30 00:00:00	3.8149994	0	10000	4.7737556	91.604048	1	59.978876	1.7579861e-11
1979-03-31 00:00:00	3.8696285	0	10000	8.0441706	87.778528	0.94790219	112.95921	1.8131945e-11
1979-04-01 00:00:00	4.3767093	0	10000	6.8750066	84.457946	0.88559795	135.09863	1.5046296e-13
1979-04-02 00:00:00	8.2823591	0	10000	1.6379232	89.731024	1	71.7715	2.2974537e-10
1979-04-03 00:00:00	3.8972536	0	10000	5.0770915	77.242888	0.75573134	177.89387	1.7990741e-11
1979-04-04 00:00:00	5.1028776	0	10000	2.653758	67.87741	0.46470021	247.82321	1.0803241e-11
1979-04-05 00:00:00	5.6819968	0	10000	2.0475085	82.111049	0.84693756	154.51088	9.4690971e-11
1979-04-06 00:00:00	7.4426911	0	10000	0.17333883	68.305958	1	93.768041	4.8530093e-12
1979-04-07 00:00:00	11.212418	0	10000	-2.0212438	69.226303	0.97067895	115.52742	2.2546296e-12
1979-04-08 00:00:00	6.9762367	0	10000	-2.0570791	58.132274	0.45826159	260.431	1.1357638e-11
1979-04-09 00:00:00	4.6000548	0	10000	-1.5654154	87.56488	1	96.546541	2.0934722e-10
1979-04-10 00:00:00	8.7907708	0	10000	0.091671244	82.083691	0.73331273	197.02317	2.7986112e-11
1979-04-11 00:00:00	7.6464757	0	10000	-0.37623698	70.22971	0.34202027	283.45679	0
1979-04-12 00:00:00	6.0292182	0	10000	2.4308411	64.371683	0.38595219	278.37662	0
1979-04-13 00:00:00	4.6502131	0	10000	3.0720904	75.137905	0.38719371	278.62238	0
1979-04-14 00:00:00	4.8474101	0	10000	1.8862511	86.595151	0.97907917	116.98575	1.0029167e-10
1979-04-15 00:00:00	1.7373775	0	10000	3.3233416	85.262884	0.99539633	110.942	1.2770834e-11
1979-04-16 00:00:00	2.7050898	0	10000	3.178757	85.336446	1	103.87317	1.3238426e-11
1979-04-17 00:00:00	5.4558711	0	10000	4.5120941	71.743911	0.90335733	148.85921	8.9583333e-13
1979-04-18 00:00:00	5.8115263	0	10000	3.4641739	60.909444	0.7650016	199.175	0
1979-04-19 00:00:00	5.1155911	0	10000	3.8362556	62.775803	0.78356105	194.14204	0
1979-04-20 00:00:00	4.181607	0	10000	4.8795881	60.395191	0.67369722	229.00771	0
1979-04-21 00:00:00	1.9420081	0	10000	7.4500023	50.065619	0.36437135	298.77342	0
1979-04-22 00:00:00	3.0333661	0	10000	8.378759	63.297485	0.93431779	140.91679	0
1979-04-23 00:00:00	4.7127641	0	10000	10.707086	62.727332	0.39465249	292.77641	0
1979-04-24 00:00:00	3.3953674	0	10000	11.180002	55.993228	0.47053992	281.5325	0
1979-04-25 00:00:00	5.6246333	0	10000	11.467096	67.807394	0.80769869	188.71208	3.306713e-12
1979-04-26 00:00:00	5.7731297	0	10000	10.916259	82.220418	0.9944132	116.73462	1.9193288e-11
1979-04-27 00:00:00	7.9843932	0	10000	14.079172	94.220982	1	102.15579	3.1568403e-10
1979-04-28 00:00:00	3.3216812	0	10000	14.97293	83.336247	0.45382048	280.91471	6.2390046e-11
1979-04-29 00:00:00	3.4856446	0	10000	12.285438	82.440648	0.8152176	187.56788	5.472338e-11
1979-04-30 00:00:00	2.3566858	0	10000	11.937082	68.813942	0.69734079	229.63104	0
1979-05-01 00:00:00	3.6678007	0	10000	10.837506	58.878113	0.81473368	193.87675	0
1979-05-02 00:00:00	5.3866294	0	10000	6.1800044	67.770071	0.6831403	240.30891	1.2481481e-11
1979-05-03 00:00:00	3.6490975	0	10000	7.9541743	65.512255	0.67813594	242.19283	5.7554398e-11
1979-05-04 00:00:00	4.7490938	0	10000	11.055011	81.698282	0.64513152	248.10317	3.717361e-11
1979-05-05 00:00:00	6.4943592	0	10000	5.8804209	69.928057	0.77894214	211.69371	0
1979-05-06 00:00:00	3.8078957	0	10000	5.3995911	62.796819	0.60584358	268.55342	0
1979-05-07 00:00:00	2.8642275	0	10000	8.3466672	53.481428	0.5975511	271.61583	0
1979-05-08 00:00:00	4.3476718	0	10000	13.688346	59.898365	0.4757495	297.22708	0
1979-05-09 00:00:00	4.7082608	0	10000	21.106265	69.797201	0.41616126	297.55838	0
1979-05-10 00:00:00	4.5188902	0	10000	20.357088	69.981356	0.42359389	298.49696	3.1018519e-13
1979-05-11 00:00:00	3.5356678	0	10000	14.994169	65.934115	0.76856552	215.04546	0
1979-05-12 00:00:00	5.8685723	0	10000	13.141676	76.455232	0.80972854	202.31917	2.2546296e-12
1979-05-13 00:00:00	4.3309594	0	10000	15.561259	87.423831	0.84073024	187.43633	3.8344908e-11
1979-05-14 00:00:00	2.8491564	0	10000	14.129171	87.506792	1	94.874542	1.3900463e-11
1979-05-15 00:00:00	3.0561145	0	10000	14.047923	78.190238	0.51456347	293.62117	1.3842593e-12
1979-05-16 00:00:00	4.2711978	0	10000	13.405424	77.23871	0.71713834	237.74146	0
1979-05-17 00:00:00	3.2096947	0	10000	11.006258	69.796238	0.56972935	286.80779	2.4351852e-12
1979-05-18 00:00:00	3.4830478	0	10000	11.927094	83.035834	0.94130537	152.66483	4.8171296e-12
1979-05-19 00:00:00	4.3533116	0	10000	12.845421	90.414573	0.91256399	164.10617	4.1435185e-12
1979-05-20 00:00:00	3.924591	0	10000	12.938339	92.022624	0.98510446	132.29342	3.2861112e-11
1979-05-21 00:00:00	3.3129075	0	10000	15.792502	84.804888	0.61364458	269.33525	1.8085649e-11
1979-05-22 00:00:00	4.1976084	0	10000	13.180006	66.445041	0.5100925	305.33046	2.5e-13
1979-05-23 00:00:00	3.2738971	0	10000	12.149591	83.557685	0.99748768	128.97796	2.2035301e-10
1979-05-24 00:00:00	3.7995473	0	10000	11.869588	95.635059	1	79.751125	5.5148264e-10
1979-05-25 00:00:00	5.3743541	0	10000	13.450006	95.544459	1	90.413042	2.6111111e-10
1979-05-26 00:00:00	7.1892559	0	10000	14.656259	88.295121	0.744751	231.78238	2.0099537e-11
1979-05-27 00:00:00	5.7509506	0	10000	12.302924	76.601305	0.70007208	252.51633	5.1643519e-12
1979-05-28 00:00:00	4.4092501	0	10000	13.108762	85.911465	0.83274718	201.86871	1.5840278e-10
1979-05-29 00:00:00	2.7689494	0	10000	14.619592	82.014735	0.64793562	266.86641	1.1519444e-10
